ELO_DIFF,DIFF_EFG_30,DIFF_TOV_RATE_30,DIFF_OREB_RATE_30,DIFF_FT_RATE_30,DIFF_DEF_EFG_30,DIFF_DEF_TOV_RATE_30,DIFF_DEF_OREB_RATE_30,DIFF_DEF_FT_RATE_30,DIFF_NET_RTG_30,DIFF_NET_RTG_10,DIFF_PTS_10,DIFF_WIN_PCT,DIFF_HOME_ROAD_WIN_PCT,REST_DIFF,HOME_IS_B2B,AWAY_IS_B2B,AVAILABILITY_DIFF,SPREAD,GAME_DATE,HOME_TEAM,AWAY_TEAM
107.58688863561656,-0.02552731922683038,-0.024884428474144155,0.1030311432227598,-0.009442611356261038,-0.04377127385828694,0.06163878320700991,-0.03407928249632372,0.01641509199497662,19.513940616544065,19.513940616544065,3.0,0.2,-0.08333333333333331,0.0,0,0,0.0,1,2021-10-29,TOR,ORL
114.68024295857981,-0.034152639859214795,-0.027201207710416897,-0.06743323739632143,-0.01958966225715572,-0.03873969224226925,-0.014034849379426145,0.002201807153198565,-0.02771876834970921,-0.6390320209748239,-0.6390320209748239,-11.400000000000006,0.2,0.3333333333333333,0.0,0,0,0.0,7,2021-10-29,BKN,IND
73.27684925163885,0.041401880794533996,0.006026682661381483,-0.03207394395468735,-0.044899159913209696,0.03377735125656589,-0.00368450012668306,-0.0023705382132713226,0.09603915837089647,-6.317847362656261,-6.317847362656261,11.0,-0.19999999999999996,-0.3333333333333333,0.0,0,0,0.0,12,2021-10-29,LAL,CLE
77.65529213563991,0.03476487013714147,0.029442615297349345,-0.08084946347340707,0.0030787321296131265,0.003458756752975467,-0.047207958099580824,-0.0012858173885312851,0.043795045658488574,-9.36953110779039,-9.36953110779039,6.0,-0.33333333333333337,-0.5,0.0,1,1,0.0,-3,2021-10-30,IND,TOR
99.69260368051891,0.03774000971675451,0.018963924379709327,-0.04846457424132017,0.06344671076437436,0.045216191539800166,0.01450058170799813,0.0019168268670706479,0.01517697130952922,-1.5547033261518894,-1.5547033261518894,1.4000000000000057,0.0,0.16666666666666669,0.0,0,0,0.0,28,2021-10-30,PHI,ATL
137.00563945144336,0.0037103463658405555,-0.021969776113745884,0.004406156055099364,0.02458897392210599,-0.02996568322832649,-0.012217863259390338,-0.04451607650851622,-0.04553164683870442,10.854541548506862,10.854541548506862,-2.0,0.4,0.33333333333333337,-1.0,0,0,0.0,3,2021-10-30,WAS,BOS
159.18613609412728,0.047634348466721155,0.011612915332114282,0.003474857109823315,0.019079173877461386,-0.0393601149989975,0.00048787498513216954,-0.051353948200208166,-0.017688717452511965,18.4947393281035,18.4947393281035,12.200000000000003,0.6000000000000001,0.5,-1.0,0,0,0.0,21,2021-10-30,GSW,OKC
143.2704877602448,0.002529874833685497,-0.008307816422100989,-0.04168215944811693,0.10906183948954767,0.006550451887886721,-0.0208566833073814,0.0011452160343152773,0.008591039327798727,-1.0243261801663976,-1.0243261801663976,4.0,0.39999999999999997,0.5,1.0,0,0,0.0,-9,2021-10-30,MIL,SAS
90.32894183832991,0.014675288658491659,-0.000411614416538697,0.0465040773180308,-0.05102738300329837,0.09348386651708307,-0.009425787116270415,0.06921736202594991,-0.005264996412514933,-16.73708066483372,-16.73708066483372,3.0,-0.20000000000000007,0.5,1.0,0,1,0.0,-26,2021-10-30,MEM,MIA
36.91941264931393,-0.05719337649545064,0.02099694973489971,0.037795508120572335,-0.010812010088672469,0.021958628212960574,-0.0012786167368967344,0.0028047618579828126,-0.01124360917694539,-14.37016661560671,-14.37016661560671,-13.633333333333326,-0.6333333333333334,-1.0,-1.0,1,0,0.0,-6,2021-10-30,NOP,NYK
66.65178016726327,-0.007131087138893433,-0.011852289567054516,-0.06439181091220764,-0.02466657015045204,0.08483873356000021,0.008072518614197069,-0.012896871392440001,-0.0357088409957782,-14.6353762286099,-14.6353762286099,-1.5,-0.30000000000000004,-0.3333333333333333,0.0,1,1,0.0,-12,2021-10-31,MIL,UTA
120.81862966418271,0.03950525996923515,-0.00598859574192806,-0.06994457131894721,0.02736244262419582,-0.04915991652055468,-0.04899758090820876,0.013077756642860816,-0.033024336968550866,6.6216212592710635,6.6216212592710635,5.299999999999997,0.3,0.5,1.0,0,1,0.0,26,2021-10-31,BKN,DET
127.09924532154992,0.05645745741318098,-0.006940560858600481,0.006391152559748842,-0.03711376113169523,-0.004248089786396236,-0.009702049939104868,0.03804647561422089,-0.006951850134281179,6.2793360779521885,6.2793360779521885,10.700000000000003,0.3,0.5,-1.0,0,0,0.0,10,2021-10-31,LAL,HOU
121.01237369856699,-0.00525165849122311,-0.020353826245440396,0.007434181820974273,0.006814924420879026,0.0377783697229741,0.015375231832097935,0.04799525217624359,0.038148437659622586,-8.084016202454395,-8.084016202454395,3.9000000000000057,0.06666666666666665,0.5,0.0,0,0,0.0,12,2021-10-31,CHA,POR
98.35620715723917,-0.060715176879885924,-0.00441479163986884,0.013219048978815012,-0.02614310070787884,0.022697654920754484,0.0400702824537392,-0.061996738061131484,-0.05708388093165534,-1.9840528504874588,-1.9840528504874588,-14.0,0.0,0.0,0.0,0,0,0.0,6,2021-10-31,DAL,SAC
123.10586999793145,0.029314105985425387,-0.0056864220628482925,-0.059110219008821824,0.030947676006405023,-0.02939684602885262,-0.0005292637391128702,0.06285248270990201,0.023902600359044013,4.220284435620944,4.220284435620944,-1.5,0.16666666666666663,0.6666666666666666,1.0,0,1,0.0,10,2021-11-01,PHI,POR
104.75921833015173,0.012169139734127699,-0.02868760954161023,-0.009800352551607466,-0.037546880353765716,-0.04965484648665608,0.035681156573030254,0.043256003551872424,0.060032312846224484,13.132438557248676,13.132438557248676,5.633333333333326,0.033333333333333354,0.3333333333333333,1.0,0,0,0.0,5,2021-11-01,LAC,OKC
139.41166966830588,-0.015684307620989435,-0.002327564446868935,0.02407998613362597,-0.004920082404388598,-0.06696701177862946,0.060387089845532343,0.06121538114893599,-0.006275681543036038,15.29069456460369,15.29069456460369,2.114285714285714,0.45714285714285713,0.3,0.0,0,0,0.0,-18,2021-11-01,MIN,ORL
73.12231762299052,0.006824731675207585,0.034585339628477416,-0.003523153025519782,0.05803713809813203,-0.01656011155728543,-0.03060280997366012,0.014725659292931681,0.06596710710247389,-5.865524656877134,-5.865524656877134,-0.2380952380952408,-0.19047619047619047,0.0,0.0,0,0,0.0,13,2021-11-01,IND,SAS
130.86277040141022,0.04739734601637163,-0.029199859090641322,0.003942297603534817,-0.009013453686029071,0.030190142587570024,0.0032513037034791747,-0.018874206958548245,0.04640594705433418,3.399444059300172,3.399444059300172,16.0,0.28571428571428575,0.2666666666666666,-1.0,1,0,0.0,-3,2021-11-01,CHA,CLE
